cfg_buy_amount_min,cfg_buy_min_core_hits,cfg_buy_momentum_score_total,cfg_buy_strict_score_total,cfg_enable_buy_momentum,cfg_enable_sell_time_stop,cfg_market_score_filter_min_avg,cfg_market_score_filter_min_ma5,cfg_max_single_position,cfg_sell_market_drop_threshold,cfg_sell_market_score_threshold,error,passed_constraints,run_id,stage_name,status,summary_available_signal_days,summary_avg_holding_days,summary_benchmark_return,summary_buy_count,summary_buy_execution_blocked,summary_buy_execution_blocked_breakdown,summary_end_date,summary_excess_return,summary_final_nav,summary_initial_capital,summary_market_filter_blocked_buy_signals,summary_market_filter_blocked_days,summary_market_score_filter_min_avg,summary_market_score_filter_min_ma5,summary_max_drawdown,summary_run_id,summary_selected_buy_signal_count,summary_sell_count,summary_sell_execution_deferred,summary_sell_execution_deferred_breakdown,summary_signal_count,summary_start_date,summary_total_return,summary_trade_count,summary_win_rate,trial_id
400000000.0,1,54,56,False,True,36,33,0.2,-2.5,39,,1,142,coarse,completed,114,5.93,0.01845,26,0,{},2026-03-19,-0.028604,989846.2508,1000000.0,25,19,36.0,33.0,0.109893,142,26,28,6,{'missing': 6},86,2025-10-09,-0.010154,54,0.357143,1
200000000.0,5,66,56,True,True,34,33,0.25,-2.0,40,严格买入总分阈值不应低于增强买入总分阈值,0,,coarse,skipped,,,,,,,,,,,,,,,,,,,,,,,,,,2
350000000.0,2,50,74,False,False,46,40,0.3,-3.5,34,,0,143,coarse,completed,114,0.0,0.01845,0,0,{},2026-03-19,-0.01845,1000000.0,1000000.0,4,3,46.0,40.0,0.0,143,0,0,0,{},0,2025-10-09,0.0,0,0.0,3
300000000.0,3,52,62,True,True,39,43,0.3,-2.5,30,,1,144,coarse,completed,114,8.91,0.01845,10,0,{},2026-03-19,-0.047185,971265.4051,1000000.0,400,55,39.0,43.0,0.130052,144,12,11,7,"{'limit_down': 1, 'missing': 6}",178,2025-10-09,-0.028735,21,0.454545,4
300000000.0,5,58,66,False,True,50,36,0.25,-4.0,31,,0,145,coarse,completed,114,0.0,0.01845,0,0,{},2026-03-19,-0.01845,1000000.0,1000000.0,7,6,50.0,36.0,0.0,145,0,0,0,{},0,2025-10-09,0.0,0,0.0,5
300000000.0,4,52,76,True,True,40,42,0.35,-3.0,40,,1,146,coarse,completed,114,5.71,0.01845,13,0,{},2026-03-19,-0.051992,966458.2092,1000000.0,124,23,40.0,42.0,0.08105,146,14,14,7,"{'limit_down': 1, 'missing': 6}",65,2025-10-09,-0.033542,27,0.357143,6
400000000.0,1,58,70,False,True,38,44,0.25,-3.5,38,,1,147,coarse,completed,114,5.67,0.01845,6,0,{},2026-03-19,-0.004424,1014025.9264,1000000.0,13,7,38.0,44.0,0.035273,147,9,6,0,{},15,2025-10-09,0.014026,12,0.5,7
250000000.0,5,70,78,False,False,38,47,0.3,-3.5,30,,0,148,coarse,completed,114,0.0,0.01845,0,0,{},2026-03-19,-0.01845,1000000.0,1000000.0,2,2,38.0,47.0,0.0,148,0,0,0,{},0,2025-10-09,0.0,0,0.0,8
300000000.0,5,56,52,False,False,34,43,0.25,-2.5,40,严格买入总分阈值不应低于增强买入总分阈值,0,,coarse,skipped,,,,,,,,,,,,,,,,,,,,,,,,,,9
400000000.0,5,56,54,True,False,45,47,0.3,-2.5,39,严格买入总分阈值不应低于增强买入总分阈值,0,,coarse,skipped,,,,,,,,,,,,,,,,,,,,,,,,,,10
200000000.0,1,64,66,True,True,45,44,0.2,-3.5,32,,1,149,coarse,completed,114,6.67,0.01845,9,0,{},2026-03-19,-0.028152,990298.2559,1000000.0,119,33,45.0,44.0,0.062223,149,9,9,0,{},52,2025-10-09,-0.009702,18,0.333333,11
300000000.0,5,64,68,False,False,46,35,0.2,-4.0,40,,0,150,coarse,completed,114,4.5,0.01845,2,0,{},2026-03-19,-0.027141,991308.8637,1000000.0,3,3,46.0,35.0,0.030874,150,2,2,0,{},4,2025-10-09,-0.008691,4,0.0,12
350000000.0,2,60,68,True,False,39,44,0.25,-3.0,38,,1,151,refine,completed,114,5.4,0.01845,10,0,{},2026-03-19,-0.038081,980369.211,1000000.0,124,36,39.0,44.0,0.049651,151,11,10,0,{},82,2025-10-09,-0.019631,20,0.3,13
400000000.0,2,58,72,True,False,39,44,0.3,-4.0,37,,1,152,refine,completed,114,6.56,0.01845,9,0,{},2026-03-19,-0.020694,997756.4447,1000000.0,142,40,39.0,44.0,0.049467,152,9,9,0,{},57,2025-10-09,-0.002244,18,0.333333,14
250000000.0,2,62,64,True,True,46,44,0.2,-4.0,31,,1,153,refine,completed,114,5.44,0.01845,9,0,{},2026-03-19,-0.022089,996361.0149,1000000.0,142,36,46.0,44.0,0.033295,153,9,9,0,{},47,2025-10-09,-0.003639,18,0.444444,15
